no,name,apt_id,lon,lat,dist,url
51,명은해어린이집,1165010853,127.0075886,37.48522506,635.4716996,
52,서초구립서리풀어린이집,1165010853,127.0076433,37.49067852,217.1405012,
53,바름이어린이집,1165010853,127.0089442,37.49412713,511.1862497,
3721,아기궁전어린이집,1165010901,127.0624758,37.45324434,300.1138849,
3722,서초더샵포레어린이집,1165010901,127.0626866,37.45393016,356.3416145,
3723,서초구립포레스타3단지어린이집,1165010901,127.0591738,37.45526014,660.5188425,
3753,아기궁전어린이집,1165010902,127.0624758,37.45324434,204.3867034,
3754,서초더샵포레어린이집,1165010902,127.0626866,37.45393016,126.4519864,
3755,서초구립포레스타3단지어린이집,1165010902,127.0591738,37.45526014,357.591131,
4005,아기궁전어린이집,1165011101,127.0624758,37.45324434,366.2039327,
4006,서초더샵포레어린이집,1165011101,127.0626866,37.45393016,350.9069019,
4007,서초구립포레스타3단지어린이집,1165011101,127.0591738,37.45526014,40.5594219,
4068,서초구립포레스타7단지어린이집,1165011104,127.0621678,37.44401319,685.4603264,
4069,아기궁전어린이집,1165011104,127.0624758,37.45324434,676.1300533,
4123,아기궁전어린이집,1165011102,127.0624758,37.45324434,548.2293389,
4124,서초더샵포레어린이집,1165011102,127.0626866,37.45393016,584.4273246,
4125,서초구립포레스타3단지어린이집,1165011102,127.0591738,37.45526014,404.9919576,
4126,아기궁전어린이집,1165011105,127.0624758,37.45324434,594.6895517,
4127,서초더샵포레어린이집,1165011105,127.0626866,37.45393016,585.1388198,
4128,서초구립포레스타3단지어린이집,1165011105,127.0591738,37.45526014,250.0393835,
4172,서초구립포레스타3단지어린이집,1165011103,127.0591738,37.45526014,655.2906621,
5066,서초한별어린이집,1165010201,127.0396384,37.47329407,647.6401262,
5067,텀블랜드어린이집,1165010201,127.0396473,37.47921606,162.6404905,
5068,온무리어린이집,1165010201,127.0406212,37.48455591,626.4192921,
5069,클레어린이집,1165010201,127.0485531,37.48033205,645.9840296,
5747,서초장미어린이집,1165010848,127.0284303,37.48418339,365.39131,
5748,자연의아이들어린이집,1165010848,127.0271257,37.4865758,450.0448168,
5749,서초구청어린이집,1165010848,127.0313912,37.48640351,99.66771844,
5892,햇살담는어린이집,1165010202,127.0245798,37.47243223,626.4406843,
5893,함께크는어린이집,1165010202,127.0267229,37.47333318,412.352098,
5926,서초장미어린이집,1165010811,127.0284303,37.48418339,293.976812,
5927,푸르니서초어린이집,1165010811,127.0237949,37.4874097,573.2645494,
5928,자연의아이들어린이집,1165010811,127.0271257,37.4865758,269.0955356,
5929,서초구청어린이집,1165010811,127.0313912,37.48640351,108.4988321,
5957,자연의아이들어린이집,1165010822,127.0271257,37.4865758,600.978726,
5958,서초구청어린이집,1165010822,127.0313912,37.48640351,580.41091,
5985,서초장미어린이집,1165010847,127.0284303,37.48418339,683.2089626,
5986,푸르니서초어린이집,1165010847,127.0237949,37.4874097,613.1465049,
5987,서초아이자람어린이집,1165010847,127.0222237,37.48900777,678.9192522,
5988,자연의아이들어린이집,1165010847,127.0271257,37.4865758,468.9183067,
5989,서초구청어린이집,1165010847,127.0313912,37.48640351,451.1481379,
5993,푸르니서초어린이집,1165010849,127.0237949,37.4874097,625.5604455,
5994,서초아이자람어린이집,1165010849,127.0222237,37.48900777,666.9082904,
5995,자연의아이들어린이집,1165010849,127.0271257,37.4865758,514.6934041,
5996,서초구청어린이집,1165010849,127.0313912,37.48640351,522.946586,
6043,햇살담는어린이집,1165010203,127.0245798,37.47243223,698.6157621,
6044,함께크는어린이집,1165010203,127.0267229,37.47333318,521.3187796,
6045,푸르니서초어린이집,1165010805,127.0237949,37.4874097,647.632434,
6046,서초아이자람어린이집,1165010805,127.0222237,37.48900777,656.8725289,
6047,자연의아이들어린이집,1165010805,127.0271257,37.4865758,577.9590902,
6048,서초구청어린이집,1165010805,127.0313912,37.48640351,615.430931,
6064,서초장미어린이집,1165010835,127.0284303,37.48418339,307.1762557,
6065,푸르니작은어린이집,1165010835,127.0211995,37.48821043,657.1440368,
6066,푸르니서초어린이집,1165010835,127.0237949,37.4874097,415.8053639,
6067,서초아이자람어린이집,1165010835,127.0222237,37.48900777,596.8863238,
6068,자연의아이들어린이집,1165010835,127.0271257,37.4865758,125.3783607,
