join_key,area_use,deal_type,contract_ym,price
1165000000000,59.09,deal,202011,125000
1165000000000,59.21,deal,202105,131000
1165000000000,59.69,deal,202106,142250
1165000000000,59.94,deal,202006,111760
1165000000000,84.3,deal,202007,139666
1165000000000,84.41,deal,202111,160000
1165000000000,84.48,deal,202104,154500
1165000000000,84.61,deal,202011,157500
1165000000000,84.81,deal,202109,160000
1165000000000,84.87,deal,202202,175000
1165000000000,84.93,deal,201907,120000
1165000000000,84.95,deal,202105,165000
1165000000000,84.99,deal,202107,182000
1165000000000,101.31,deal,202007,150000
1165000000000,101.34,deal,202104,173000
1165000000000,101.78,deal,202110,192000
1165000000000,101.85,deal,202007,149500
1165000000000,101.9,deal,202206,204000
1165000000000,101.95,deal,202102,169000
1165000000000,114.62,deal,202008,150000
1165000000000,114.68,deal,202012,182000
1165000000000,114.71,deal,202202,191000
1165000000000,114.9,deal,202008,193500
1165000010001,59.96,deal,202108,253948
1165000010001,84.95,deal,202107,339340
1165000010001,84.96,deal,202110,325436
1165000010001,84.97,deal,202105,349602
1165000010001,84.98,deal,202203,387407
1165000010001,101.96,deal,202110,426445
1165000010001,101.99,deal,202107,403316
1165000010001,108.89,deal,202001,297000
1165000010001,116.95,deal,202109,260925
1165000010001,132.94,deal,201909,335000
1165000010001,133.91,deal,202106,469508
1165000010007,103.65,deal,202005,102000
1165000010007,186.48,deal,202012,185000
1165000010008,71.97,deal,201912,227470
1165000010008,73.5,deal,201910,210700
1165000010008,97.79,deal,201911,289970
1165000010008,131.93,deal,201907,339500
1165000010011,256,deal,202101,310000
1165000010015,208.29,deal,201910,240000
1165000010015,208.39,deal,202008,240000
1165000010021,270.6,deal,202103,325000
1165000010035,125.75,deal,202102,180000
1165000010040,244.41,deal,202111,350000
1165000010040,244.45,deal,202107,340000
1165000010043,244.8,deal,202105,180000
1165000010057,244.89,deal,202103,312500
1165000010062,213.81,deal,202104,220000
1165000010106,240.98,deal,202112,274500
1165000010106,243.15,deal,202106,230000
1165000010119,216.25,deal,202010,208000
1165000020012,59.95,deal,201911,260000
1165000020012,59.97,deal,202106,270000
1165000020012,59.98,deal,202105,267000
1165000020012,84.94,deal,202108,379000
1165000020012,84.95,deal,202201,466000
1165000020012,84.97,deal,202204,431000
1165000020012,84.98,deal,202205,410000
1165000020012,84.99,deal,202108,375000
1165000020012,112.93,deal,202204,540000
1165000020012,112.96,deal,202109,500000
1165000020012,112.97,deal,202006,360000
1165000020012,112.98,deal,202107,488000
1165000020012,112.99,deal,202108,500000
