route_id,route_name,route_type
100100507,6009,공항
100100513,6100,공항
100100373,6101,공항
122000009,6105,공항
122900003,강남01,마을
122900006,강남02,마을
122900004,강남03,마을
122900002,강남05,마을
122900005,강남06,마을
122900007,강남06-1,마을
122900010,강남06-2,마을
122900001,강남07,마을
122900008,강남08,마을
122900009,강남10,마을
124900002,강동01,마을
124900003,강동02,마을
124900001,강동05,마을
108900006,강북01,마을
108900002,강북02,마을
108900003,강북03,마을
108900005,강북04,마을
108900008,강북05,마을
108900007,강북06,마을
108900013,강북08,마을
108900004,강북09,마을
108900009,강북10,마을
108900001,강북11,마을
108900012,강북12,마을
115900006,강서01,마을
115900003,강서02,마을
115900004,강서03,마을
115900001,강서04,마을
115900005,강서05,마을
115900008,강서05-1,마을
115900002,강서06,마을
115900007,강서07,마을
120900005,관악01,마을
120900008,관악02,마을
120900003,관악03,마을
120900009,관악04,마을
120900010,관악05,마을
120900004,관악06,마을
120900006,관악07,마을
120900007,관악08,마을
120900002,관악10,마을
114900004,관악11,마을
104900005,광진01,마을
104900003,광진02,마을
104900002,광진03,마을
104900001,광진04,마을
104900004,광진05,마을
116900013,구로01,마을
116900014,구로02,마을
116900010,구로03,마을
116900011,구로04,마을
116900009,구로05,마을
116900012,구로06,마을
116900006,구로07,마을
116900015,구로08,마을
116900007,구로09,마을
116900003,구로10,마을
116900004,구로11,마을
116900002,구로12,마을
116900001,구로13,마을
116900005,구로14,마을
116900016,구로15,마을
117900008,금천01,마을
117900006,금천02,마을
117900003,금천03,마을
117900002,금천04,마을
117900001,금천05,마을
117900004,금천06,마을
117900007,금천07,마을
117900005,금천08,마을
117900010,금천11,마을
110900004,노원01,마을
110900009,노원02,마을
110900005,노원03,마을
110900001,노원04,마을
110900003,노원05,마을
110900007,노원08,마을
110900006,노원09,마을
110900002,노원11,마을
110900008,노원13,마을
109900011,노원14,마을
109900010,노원15,마을
109900001,도봉01,마을
108900010,도봉02,마을
109900007,도봉03,마을
109900008,도봉04,마을
109900004,도봉05,마을
109900003,도봉06,마을
109900002,도봉07,마을
109900006,도봉08,마을
109900005,도봉09,마을
105900003,동대문01,마을
105900002,동대문02,마을
105900006,동대문03,마을
105900001,동대문05,마을
119900007,동작01,마을
119900013,동작02,마을
119900020,동작03,마을
119900022,동작05,마을
119900023,동작05-1,마을
119900014,동작06,마을
119900018,동작07,마을
119900009,동작08,마을
119900019,동작09,마을
119900006,동작10,마을
119900011,동작11,마을
119900021,동작12,마을
120900001,동작13,마을
119900012,동작14,마을
119900010,동작15,마을
119900017,동작16,마을
119900016,동작17,마을
119900015,동작18,마을
119900008,동작19,마을
119900001,동작20,마을
119900024,동작21,마을
102900001,마포01,마을
113900005,마포02,마을
113900002,마포03,마을
113900011,마포05,마을
113900012,마포06,마을
113900010,마포07,마을
113900013,마포08,마을
113900015,마포09,마을
113900008,마포10,마을
113900004,마포11,마을
113900003,마포12,마을
113900007,마포13,마을
113900006,마포14,마을
113900014,마포15,마을
113900009,마포16,마을
113900001,마포17,마을
113900016,마포18,마을
113900017,마포18-1,마을
241341002,부천021-1,마을
112900010,서대문01,마을
112900014,서대문02대,마을
112900015,서대문02소,마을
112900004,서대문03,마을
112900011,서대문04,마을
