no,highway_nm,lat,lon
1,공항입구IC,37.50727625,126.5124792
2,공항입구IC,37.50681734,126.5037918
3,공항신도시IC,37.489293,126.4917119
4,공항신도시IC,37.48269693,126.4871149
5,신불IC,37.46188375,126.48862
6,신불IC,37.45905965,126.4858276
7,도화IC북측,37.46309662,126.6727367
8,도화IC출구,37.46248534,126.6712086
9,도화IC남측,37.4613774,126.672692
10,문학IC북측,37.43754746,126.6765753
11,장수IC,37.46375471,126.7531464
12,서창JC입구,37.43840759,126.7398816
13,남동IC동측,37.43385299,126.7181794
14,남동IC서측,37.4337014,126.709172
15,서창JC서측,37.43308546,126.7334873
16,서창JC동측,37.43275668,126.7432041
17,남동IC남측,37.43173334,126.7103706
18,서창JC남측,37.42838796,126.7377646
19,남동IC남측,37.42601643,126.710137
20,남동IC남측,37.42731503,126.7084091
21,남동IC남측,37.42922503,126.7109358
22,남동IC남측,37.43056025,126.7086586
23,부평IC서측,37.52379259,126.719944
24,서운JC서측,37.52405824,126.7528912
25,부평IC남측,37.52304296,126.7220915
26,장수IC,37.46857353,126.7546986
27,노오지JC,37.57205128,126.753666
28,노오지JC,37.57066996,126.7504371
29,계양IC북측,37.54661884,126.7480584
30,계양IC서측,37.54451812,126.7460024
31,계양IC동측,37.54294384,126.7524743
32,계양IC남측,37.54115253,126.7496585
33,서운JC북측,37.53297428,126.7519534
34,서운JC동측,37.5267399,126.7566217
35,부평IC북측,37.5246085,126.722152
36,서운JC남측,37.52438634,126.7516862
37,부평IC동측,37.52385687,126.7246732
38,영종대교,37.55494634,126.6156397
39,서인천IC동측,37.52226018,126.6823625
40,서인천IC북측,37.52148831,126.6795833
41,서인천IC남측,37.52030181,126.6809486
42,서인천IC남측,37.51918943,126.6784207
43,가좌IC북측,37.48607812,126.674984
44,가좌IC서측,37.48463612,126.6721288
45,송내IC남측,37.48558656,126.7478726
46,서운JC,37.52580953,126.7570323
47,신공항T/G,37.5699084,126.6690842
48,인천T/G,37.52400565,126.7486889
49,중동IC,37.51638625,126.7502451
50,남인천T/G,37.43195312,126.764195
51,공항신도시IC,37.48758356,126.4852916
52,남동IC입구,37.43133118,126.7084549
53,가좌IC앞,37.48219896,126.6738284
54,가좌IC,37.48278431,126.6752381
55,공항신도시JC,37.48225972,126.4941101
56,영종IC,37.47760724,126.5020633
57,영종IC,37.4721622,126.510772
58,연수JC,37.40899612,126.6257777
59,영종IC,37.47202521,126.5049702
60,영종IC,37.46977379,126.5062928
61,영종IC,37.47049099,126.5107866
62,옥련IC,37.42189694,126.6354042
63,옥련IC,37.42812726,126.6358387
64,학익JC,37.43686706,126.6544231
65,노오지JC,37.56673611,126.7525788
66,문학IC동측,37.43513029,126.6799086
67,문학IC남측,37.43450468,126.6736345
68,인천국제공항진입로,37.44536507,126.4628141
69,송내IC남측,37.48392794,126.7490209
70,부평IC동측,37.52425954,126.7228651
71,호매실IC,37.26514687,126.9486147
72,호매실IC,37.26187412,126.9510637
73,호매실IC,37.26000843,126.9485541
74,월암IC,37.302808,126.964263
