no,station_cd,station_nm,line_num,line_name,fr_code,xpoint_wgs,ypoint_wgs
1,11111,관악산(서울대),SL,신림선,,126.9453551,37.46866051
2,,당곡,SL,신림선,,126.9275294,37.49027295
3,,대방,SL,신림선,,126.9266504,37.51278401
4,,보라매,SL,신림선,,126.9206855,37.50099061
5,,보라매공원,SL,신림선,,126.9181179,37.4959198
6,,보라매병원,SL,신림선,,126.9247823,37.49280424
7,,샛강,SL,신림선,,126.9295308,37.51741586
8,,서울지방병무청,SL,신림선,,126.9220299,37.50435405
9,,서원,SL,신림선,,126.9334258,37.47807033
10,,신림,SL,신림선,,126.9297841,37.48417174
11,,서울대벤처타운,SL,신림선,,126.9338169,37.47214706
12,1916,소요산,1,1호선,100,127.061034,37.9481
13,1915,동두천,1,1호선,101,127.05479,37.927878
14,1914,보산,1,1호선,102,127.057277,37.913702
15,1913,동두천중앙,1,1호선,103,127.056482,37.901885
16,1912,지행,1,1호선,104,127.055716,37.892334
17,1911,덕정,1,1호선,105,127.061277,37.843188
18,1910,덕계,1,1호선,106,127.056486,37.818486
19,1909,양주,1,1호선,107,127.044708,37.774381
20,1908,녹양,1,1호선,108,127.042292,37.75938
21,1907,가능,1,1호선,109,127.044213,37.748577
22,1906,의정부,1,1호선,110,127.045958,37.738415
23,1905,회룡,1,1호선,111,127.046895,37.724846
24,1904,망월사,1,1호선,112,127.047455,37.709914
25,1903,도봉산,1,1호선,113,127.046222,37.689313
26,1902,도봉,1,1호선,114,127.045595,37.679563
27,1901,방학,1,1호선,115,127.044273,37.667503
28,1022,창동,1,1호선,116,127.047731,37.653166
29,1021,녹천,1,1호선,117,127.051269,37.644799
30,1020,월계,1,1호선,118,127.058831,37.633212
31,1019,광운대,1,1호선,119,127.061835,37.623632
32,1018,석계,1,1호선,120,127.065851,37.614805
33,1017,신이문,1,1호선,121,127.067325,37.601854
34,1016,외대앞,1,1호선,122,127.063549,37.596073
35,1015,회기,1,1호선,123,127.057583,37.58946
36,158,청량리,1,1호선,124,127.046835,37.580178
37,157,제기동,1,1호선,125,127.034893,37.578103
38,156,신설동,1,1호선,126,127.025087,37.575297
39,159,동묘앞,1,1호선,127,127.016429,37.572627
40,155,동대문,1,1호선,128,127.009745,37.57142
41,154,종로5가,1,1호선,129,127.001849,37.570926
42,153,종로3가,1,1호선,130,126.991806,37.571607
43,152,종각,1,1호선,131,126.982923,37.570161
44,151,시청,1,1호선,132,126.977108,37.564718
45,150,서울,1,1호선,133,126.972559,37.554648
46,1002,남영,1,1호선,134,126.9713,37.541021
47,1003,용산,1,1호선,135,126.964561,37.529849
48,1004,노량진,1,1호선,136,126.942454,37.514219
49,1005,대방,1,1호선,137,126.926382,37.513342
50,1032,신길,1,1호선,138,126.917169,37.517122
51,1006,영등포,1,1호선,139,126.907628,37.515504
52,1007,신도림,1,1호선,140,126.891295,37.508725
53,1701,구로,1,1호선,141,126.881966,37.503039
54,1813,구일,1,1호선,142,126.870793,37.496756
55,1801,개봉,1,1호선,143,126.85868,37.494594
56,1802,오류동,1,1호선,144,126.845365,37.494526
57,1821,온수,1,1호선,145,126.823388,37.492258
58,1803,역곡,1,1호선,146,126.811502,37.485178
59,1814,소사,1,1호선,147,126.79544,37.482753
60,1804,부천,1,1호선,148,126.782686,37.48405
61,1822,중동,1,1호선,149,126.764843,37.486562
62,1805,송내,1,1호선,150,126.753664,37.4876
63,1815,부개,1,1호선,151,126.74109,37.488418
64,1806,부평,1,1호선,152,126.724805,37.489493
65,1807,백운,1,1호선,153,126.707704,37.483664
66,1808,동암,1,1호선,154,126.702896,37.471408
67,1816,간석,1,1호선,155,126.694181,37.464737
68,1809,주안,1,1호선,156,126.679923,37.464941
69,1823,도화,1,1호선,157,126.668672,37.46607
70,1810,제물포,1,1호선,158,126.656666,37.466769
71,1817,도원,1,1호선,159,126.642706,37.468446
72,1811,동인천,1,1호선,160,126.632802,37.475276
73,1812,인천,1,1호선,161,126.616936,37.476691
74,1917,마전(무정차),1,1호선,759,127.0502106,37.79274483
75,1702,가산디지털단지,1,1호선,P142,126.882343,37.481072
76,1714,독산,1,1호선,P143,126.8894976,37.46613895
77,1703,금천구청,1,1호선,P144,126.8940137,37.45584938
78,1750,광명,1,1호선,P144-1,126.8847675,37.4166498
79,1704,석수,1,1호선,P145,126.9021794,37.43529729
80,1705,관악,1,1호선,P146,126.9084835,37.41961706
81,1706,안양,1,1호선,P147,126.9220711,37.40273572
82,1707,명학,1,1호선,P148,126.9353945,37.38512003
83,1708,금정,1,1호선,P149,126.9434573,37.37233077
84,1709,군포,1,1호선,P150,126.9485107,37.35346523
85,1729,당정,1,1호선,P151,126.9484038,37.34371844
86,1710,의왕,1,1호선,P152,126.9480832,37.32121106
87,1711,성균관대,1,1호선,P153,126.9716807,37.30025334
88,1712,화서,1,1호선,P154,126.9891223,37.28488505
89,1713,수원,1,1호선,P155,126.9998684,37.26597928
90,1715,세류,1,1호선,P156,127.0137778,37.24411314
91,1716,병점,1,1호선,P157,127.0332287,37.20685734
92,1749,서동탄,1,1호선,P157-1,127.0520115,37.19540059
93,1717,세마,1,1호선,P158,127.0434136,37.18711796
94,1718,오산대,1,1호선,P159,127.0630996,37.1694626
95,1719,오산,1,1호선,P160,127.0667332,37.14561932
96,1720,진위,1,1호선,P161,127.0623942,37.11004141
97,1721,송탄,1,1호선,P162,127.0543681,37.07551086
