no,line_no,line_name,station_name,scheduled_date,lat,lon,progress
1,1,9호선,강일,2028,37.565518,127.176318,구상
2,1,9호선,미사,2028,37.563047,127.196439,구상
3,1,9호선,고덕,2027,37.55530845,127.1562829,설계
4,1,9호선,한영고,2027,37.5475036,127.1560669,설계
5,1,9호선,길동생태공원,2027,37.53876373,127.1526169,설계
6,2,GTX A,GTX분기,2023.12,37.44738791,127.1186524,시공
7,2,GTX A,SR동탄,2023.12,37.20013845,127.0955334,시공
8,2,GTX A,SR성남,2023.12,37.39386102,127.120564,시공
9,2,GTX A,SR용인,2023.12,37.29834044,127.1042039,시공
10,2,GTX A,대곡,2023.12,37.63243654,126.8114459,시공
11,2,GTX A,삼성,2023.12,37.51167223,127.0616293,시공
12,2,GTX A,서울,2023.12,37.5552823,126.9725541,시공
13,2,GTX A,수서,2023.12,37.48682997,127.101384,시공
14,2,GTX A,연신내,2023.12,37.61883664,126.9212381,시공
15,2,GTX A,운정,2023.12,37.71673149,126.7281013,시공
16,2,GTX A,운정,2023.12,37.71673149,126.7281013,시공
17,2,GTX A,킨텍스,2023.12,37.66523556,126.7483006,시공
18,2,GTX A,파주차량사업소,2023.12,37.73994218,126.7117699,시공
19,2,GTX A,홍제연동기계실,2023.12,37.5950113,126.9595418,시공
20,3,GTX B,마석,2027,37.6528021,127.3116995,계획
21,3,GTX B,망우,2027,37.599717,127.092099,계획
22,3,GTX B,별내,2027,37.6422274,127.1272271,계획
23,3,GTX B,부천종합운동장,2027,37.5054626,126.7975141,계획
24,3,GTX B,부평,2027,37.489478,126.723462,계획
25,3,GTX B,서울,2027,37.555313,126.972087,계획
26,3,GTX B,송도,2027,37.38605947,126.6394995,계획
27,3,GTX B,신도림,2027,37.508827,126.891208,계획
28,3,GTX B,여의도,2027,37.521644,126.924213,계획
29,3,GTX B,용산,2027,37.529705,126.964731,계획
30,3,GTX B,인천시청,2027,37.456752,126.702076,계획
31,3,GTX B,청량리,2027,37.580522,127.047016,계획
32,3,GTX B,평내호평,2027,37.6532328,127.2444746,계획
33,4,GTX C,과천,2026,37.433124,126.996063,계획
34,4,GTX C,광운대,2026,37.62369,127.061799,계획
35,4,GTX C,금정,2026,37.372135,126.943447,계획
36,4,GTX C,덕정,2026,37.84316086,127.0615385,계획
37,4,GTX C,삼성,2026,37.5088803,127.0631067,계획
38,4,GTX C,수원,2026,37.266038,126.999762,계획
39,4,GTX C,양재,2026,37.484511,127.034069,계획
40,4,GTX C,의정부,2026,37.7384318,127.0460187,계획
41,4,GTX C,창동,2026,37.653199,127.047692,계획
42,4,GTX C,청량리,2026,37.580522,127.047016,계획
43,5,공항철도,고양,미정,37.59278505,126.8696937,0
44,6,동북선,고려대,2025,37.5891268,127.0366578,시공
45,6,동북선,대진고교 (가칭),2025,37.63944401,127.0759893,시공
46,6,동북선,동북선 시점,2025,37.56129198,127.0357444,시공
47,6,동북선,동북선 종점,2025,37.66062429,127.0717156,시공
48,6,동북선,마장우체국 (가칭),2025,37.56937678,127.0374207,시공
49,6,동북선,미아사거리,2025,37.60826557,127.0306421,시공
50,6,동북선,북서울꿈의숲 (가칭),2025,37.6194739,127.0446639,시공
51,6,동북선,불암산 (가칭),2025,37.65467822,127.0781665,시공
52,6,동북선,불암산차량기지 (가칭),2025,37.65537197,127.0783862,시공
53,6,동북선,상계,2025,37.65898107,127.0736293,시공
54,6,동북선,왕십리,2025,37.56241479,127.0359515,시공
55,6,동북선,우이천 (가칭),2025,37.62487291,127.0506341,시공
56,6,동북선,월계,2025,37.63158473,127.0612368,시공
57,6,동북선,은행사거리 (가칭),2025,37.65037922,127.0767314,시공
58,6,동북선,제기동,2025,37.5776724,127.0383163,시공
59,6,동북선,종암사거리 (가칭),2025,37.6024942,127.0326244,시공
60,6,동북선,종암우체국 (가칭),2025,37.59586655,127.0355967,시공
61,6,동북선,창문여고 (가칭),2025,37.61243766,127.0367542,시공
62,6,동북선,하계,2025,37.63630622,127.068823,시공
