apt_id,region_cod,addr,primary_no,sub_no,apt_title,n_apt_titl,lat,lon,sectors,constructi,completion,households,heating_sy,heating_re,max_floor,min_floor,parking_ca,parking_lo,community,min_area_s,max_area_s,min_area_u,max_area_u,addr_stree,addr_short,executor,homepage,telno,category1,category2,available_,ncode,in_use,deal_cnt,lease_cnt,rent_cnt,sido_code,dong_code,gubun,join_key,area_suppl,ratio_10,ratio_20,ratio_30,ratio_40,ratio_50
"1165010710","11650",서울시 서초구 반포동 20-43,"20","43",반포동,반포자이,37.507537999999997,127.013604999999998,44동,GS건설(주),"2009","3410",지역난방,열병합,29층,20층,"1.78","0","1","84.23","301.38","59.97","244.97",서울시 서초구 신반포로 270,서울시 서초구 반포동,,,,,,,"22853","1","291","360","346","11","1165010700",아파트,"1165000200043","35",0.053602163757069,0.127305138923039,0.193570199164002,0.258913203835751,0.197565773297270
"1165010711","11650",서울시 서초구 반포동 2-12,"2","12",반포동,아크로리버파크,37.506089000000003,126.993312000000003,15동,대림산업(주),"2016","1612",지역난방,열병합,38층,3층,"1.84","0","0","78.68","318.75","59.95","234.97",서울시 서초구 신반포로15길 19,서울시 서초구 반포동,,,,,,,"107613","1","109","120","100","11","1165010700",아파트,"1165000020012","34",0.063575373100269,0.109853498242891,0.176600794121674,0.240792296106978,0.195814887499429
"1165010709","11650",서울시 서초구 반포동 18-1,"18","1",반포동,래미안퍼스티지,37.503005000000002,126.999724000000001,28동,삼성물산(주),"2009","2444",지역난방,열병합,32층,23층,"1.78","0","1","86.57","268.8","59.89","222.76",서울시 서초구 반포대로 275,서울시 서초구 반포동,,,,,,,"23759","1","112","107","107","11","1165010700",아파트,"1165000180001","34",0.046872105230655,0.100475514111035,0.176557771876737,0.262520842339282,0.216204532822825
"1165010643","11650",서울시 서초구 잠원동 73,"73","0",잠원동,신반포2차,37.509497000000003,127.001148000000001,13동,한신공영(주),"1978","1572",지역난방,열병합,12층,12층,"2.09","1","0","74.18","164.72","68.91","150.58",서울시 서초구 신반포로23길 41,서울시 서초구 잠원동,,,,,,,"531","1","69","151","39","11","1165010600",재건축,"1165000730000","35",0.095904330154759,0.112396435829294,0.153040487728621,0.238158511802406,0.191886821947786
"1165010860","11650",서울시 서초구 서초동 1335,"1335","0",서초동,서초그랑자이,37.489133000000002,127.025992000000002,9동,지에스건설(주),"2021","1446",지역난방,열병합,35층,30층,"2","0","1","83.85","192.97","59.98","148.5",서울시 서초구 효령로 391,서울시 서초구 서초동,,,,,,,"126726","1","63","48","39","11","1165010800",아파트,"1165013350000","34",0.055975679270378,0.104921147634429,0.184609538286148,0.246437393121794,0.199733992019760
"1165010638","11650",서울시 서초구 잠원동 70,"70","0",잠원동,신반포4차,37.508702000000000,127.006282999999996,12동,한신공영(주),"1979","1212",지역난방,열병합,13층,12층,"1","1","0","103.57","168.64","96.48","155",서울시 서초구 잠원로 37-48,서울시 서초구 잠원동,,,,,,,"532","1","83","112","48","11","1165010600",재건축,"1165000700000","32",0.063834384994381,0.111029475321981,0.148500302532630,0.239821937937591,0.219163281182470
"1165010714","11650",서울시 서초구 반포동 30-26,"30","26",반포동,반포리체,37.503762000000002,127.013485000000003,9동,"삼성물산(주),대림산업","2011","1119",지역난방,열병합,35층,30층,"1.5","0","1","84.73","172.28","59.99","138.72",서울시 서초구 고무래로 35,서울시 서초구 반포동,,,,,,,"101887","1","42","53","49","11","1165010700",아파트,"1165000300026","34",0.065675547760238,0.119713800495559,0.184275731507000,0.259945989587682,0.186948411704111
"1165010857","11650",서울시 서초구 서초동 1755,"1755","0",서초동,래미안리더스원,37.490772999999997,127.028120999999999,12동,삼성물산(주),"2020","1317",지역난방,열병합,35층,15층,"1.91","0","1","84.03","299.89","59.97","238.73",서울시 서초구 서운로 62,서울시 서초구 서초동,,,,,,,"124311","1","61","40","51","11","1165010800",아파트,"1165017550000","33",0.046411225040475,0.116567728008635,0.195898542903399,0.251124302932181,0.205072854830005
"1165010851","11650",서울시 서초구 서초동 1685,"1685","0",서초동,삼풍,37.499178999999998,127.016032999999993,24동,"현대,우성","1988","2390",지역난방,열병합,15층,9층,"1.58","1","0","107.48","192.9","79.47","165.92",서울시 서초구 서초중앙로 200,서울시 서초구 서초동,,,,,,,"481","1","40","39","19","11","1165010800",아파트,"1165016850000","32",0.105636105963152,0.087430502561866,0.151858715796357,0.284966750245283,0.180420800174423
"1165010703","11650",서울시 서초구 반포동 1124,"1124","0",반포동,반포주공1단지,37.500802000000000,126.988427999999999,99동,대한주택공사,"1973","3590",중앙난방,도시가스,6층,5층,"0.55","1","-","72.73","204.96","72.51","196.8",서울시 서초구 신반포로 32,서울시 서초구 반포동,,,,,,,"453","1","195","0","0","11","1165010700",재건축,"1165011240000","22",0.059623574666850,0.103448275862068,0.161011127902183,0.235471905481521,0.225855199890093
"1165010717","11650",서울시 서초구 반포동 60-4,"60","4",반포동,반포미도1차,37.502254000000001,127.008810999999994,8동,,"1987","1260",지역난방,열병합,15층,15층,"1.07","1","0","110.46","110.46","84.96","84.96",서울시 서초구 서초중앙로29길 28,서울시 서초구 반포동,,,,,,,"444","1","34","38","28","11","1165010700",아파트,"1165000600004","33",0.082488299531982,0.101014040561623,0.169266770670827,0.272035881435258,0.202223088923556
"1165010312","11650",서울시 서초구 우면동 773,"773","0",우면동,서초힐스,37.457459999999998,127.018151000000003,12동,(주)서희건설,"2012","1082",개별난방,도시가스,25층,12층,"1.17","0","1","81.96","116.29","59.89","84.98",서울시 서초구 양재대로2길 90,서울시 서초구 우면동,,,,,,,"103577","1","23","54","10","11","1165010300",아파트,"1165007730000","35",0.073884178005653,0.111391572996779,0.168395451258792,0.229014658515744,0.199697627029515
"1165010849","11650",서울시 서초구 서초동 1682,"1682","0",서초동,서초래미안,37.498528000000000,127.019039000000006,13동,삼성물산,"2003","1129",개별난방,열병합,27층,10층,"1.61","1","0","112.73","167.09","84.95","127.66",서울시 서초구 서초대로65길 13-10,서울시 서초구 서초동,,,,,,,"1285","1","24","27","17","11","1165010800",아파트,"1165016820000","44",0.076544789762340,0.111663619744059,0.167312614259598,0.263254113345521,0.191700182815356
"1165010901","11650",서울시 서초구 내곡동 411,"411","0",내곡동,서초더샵포레,37.452674000000002,127.063434999999998,26동,(주)포스코건설,"2014","1264",개별난방,도시가스,20층,2층,"1.39","0","0","80.7","153.1","59.69","114.71",서울시 서초구 헌릉로8길 58,서울시 서초구 내곡동,,,,,,,"107901","1","47","26","15","11","1165010900",아파트,"1165004110000","46",0.000000000000000,0.004576659038902,0.160183066361557,0.347826086956524,0.288329519450803
"1165010902","11650",서울시 서초구 내곡동 384,"384","0",내곡동,서초포레스타2단지,37.455376999999999,127.061220000000006,13동,"고려개발(주),동원건설산업(주)","2015","1077",개별난방,도시가스,21층,11층,"1.1","0","-","87.56","124.35","59.09","84.87",서울시 서초구 헌릉로8길 45,서울시 서초구 내곡동,,,,,,,"108832","1","7","5","4","11","1165010900",아파트,"1165003840000","37",0.035196445275959,0.101613657623948,0.192528063610851,0.238189897100094,0.200654817586530
